id,name,category,quantity,retail_quantity,location,barcode,type,weight,carton_count,units_per_carton,flavor,carton_fraction,unit_type,wholesale_supplier_price,wholesale_sale_price,retail_sale_price,extra_retail_quantity,min_quantity
30,gبلوبيرى مع الليمون والنعناع مزايا 250,Retail / قطاعى,0,12,Store 2 / مخزن 2,6224010597549,Retail / قطاعى,250g / 250 جم,0,12,بلوبيرى مع الليمون والنعناع,,,,,,,
31,gمانجو تويست مزايا 250,Retail / قطاعى,0,20,Store 2 / مخزن 2,6224010597525,Retail / قطاعى,250g / 250 جم,0,20,مانجو تويست,,,,,,,
36,gعنب نعناع مزايا 250,Retail / قطاعى,0,46,Store 2 / مخزن 2,6224010597259,Retail / قطاعى,250g / 250 جم,0,46,عنب نعناع,,,,,,,
39,gمانجو مزايا 250,Retail / قطاعى,0,14,Store 2 / مخزن 2,6224010597693,Retail / قطاعى,250g / 250 جم,0,14,مانجو,,,,,,,
52,gجولد كولا 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006582682,Wholesale / جملة,250g / 250 جم,1,4,كولا,0,Wholesale / جملة,,,,,
55,gجولد كانتالوب 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006581425,Wholesale / جملة,250g / 250 جم,1,2,كانتالوب,0,Wholesale / جملة,,,,,
60,اسطورة سلوم 1000 جم,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006584143,Wholesale / جملة,1kg / 1 كجم,10,6,سلوم,0,Wholesale / جملة,,,,,
68,فحم الفاخر 250 جم,Wholesale / جملة,0,,Store 2 / مخزن 2,6223007095433,Wholesale / جملة,250g / 250 جم,4,40,,0,Wholesale / جملة,,,,,
71,دندش هادى فاخر 800 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223006583405,Wholesale / جملة,,1,8,,0,Wholesale / جملة,,,,0,
73,معسل خطاط 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223006584150,Wholesale / جملة,1kg / 1 كجم,2,6,سلوم,0,Wholesale / جملة,,,,0,
80,زغلول 150 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273048,Wholesale / جملة,150g / 150 جم,6,25,زغلول,0,Wholesale / جملة,,,,0,
92,فاخر علكة مستكة 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007090575,Wholesale / جملة,1kg / 1 كجم,0,0,علكة مستكة,0,Wholesale / جملة,,,,1,
93,فاخر كيوى مانجو 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007093958,Wholesale / جملة,1kg / 1 كجم,0,0,كيوى مانجو,0,Wholesale / جملة,,,,1,
95,فاخر عنب 250 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007092012,Wholesale / جملة,250g / 250 جم,1,24,عنب,0,Wholesale / جملة,,,,0,
97,الكبير عنب 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007094252,Wholesale / جملة,1kg / 1 كجم,0,0,عنب,0,Wholesale / جملة,,,,5,
100,ازاد خوخ 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223006654396,Wholesale / جملة,1kg / 1 كجم,0,0,خوخ,0,Wholesale / جملة,,,,10,
3,gفحم الصفوة 1750,Wholesale / جملة,4,,Store 2 / مخزن 2,6.22401E+12,Wholesale / جملة,1750g / 1750 جم,4,,,,,,,,,0
5,لاى مزايا بلاس تفاح مكس طبى,Wholesale / جملة,2,,Store 2 / مخزن 2,6.25335E+12,Wholesale / جملة,,2,,,,,,,,,0
7,gمزايا علكة مستكة 250,Wholesale / جملة,0,2,Store 2 / مخزن 2,6.22401E+12,Wholesale / جملة,250g / 250 جم,0,2,علكة مستكة,,,,,,,
11,kgلوف 66 مزايا 1,Retail / قطاعى,0,5,Store 2 / مخزن 2,6224010597754,Retail / قطاعى,1kg / 1 كجم,0,5,لوف 66,,,,,,,
12,gروبى كراش مزايا 250,Retail / قطاعى,0,20,Store 2 / مخزن 2,6224010597327,Retail / قطاعى,250g / 250 جم,0,20,روبى كراش,,,,,,,
14,gعلكة بطيخ مزايا 250,Retail / قطاعى,0,6,Store 2 / مخزن 2,6224010597594,Retail / قطاعى,250g / 250 جم,0,6,علكة بطيخ,,,,,,,
17,gليمون نعناع مزايا 250,Retail / قطاعى,0,12,Store 2 / مخزن 2,6224010597198,Retail / قطاعى,250g / 250 جم,0,12,ليمون نعناع,,,,,,,
18,gنعناع مزايا 250,Retail / قطاعى,0,20,Store 2 / مخزن 2,6224010597228,Retail / قطاعى,250g / 250 جم,0,20,نعناع,,,,,,,
20,gفسدق حلبى مزايا 250,Retail / قطاعى,0,18,Store 2 / مخزن 2,6224010597723,Retail / قطاعى,250g / 250 جم,0,18,فسدق حلبى,,,,,,,
21,gعلكة نعناع مثلج مزايا 250,Retail / قطاعى,0,12,Store 2 / مخزن 2,6224010597297,Retail / قطاعى,250g / 250 جم,0,12,علكة نعناع مثلج,,,,,,,
28,gعلكة مثلج مزايا 250,Retail / قطاعى,0,8,Store 2 / مخزن 2,6224010597280,Retail / قطاعى,250g / 250 جم,0,8,علكة مثلج,,,,,,,
32,gبطيخ مزايا 250,Retail / قطاعى,0,18,Store 2 / مخزن 2,6224010597624,Retail / قطاعى,250g / 250 جم,0,18,بطيخ,,,,,,,
34,gبلوبيرى اكزوتيكا مزايا 250,Retail / قطاعى,0,8,Store 2 / مخزن 2,6224010597266,Retail / قطاعى,250g / 250 جم,0,8,بلوبيرى اكزوتيكا,,,,,,,
46,gجولد عنب نعناع 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006582057,Wholesale / جملة,250g / 250 جم,1,4,عنب نعناع,0,Wholesale / جملة,,,,,
49,gجولد تويست 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006582514,Wholesale / جملة,250g / 250 جم,1,6,تويست,0,Wholesale / جملة,,,,,
51,gجولد لوف 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006581463,Wholesale / جملة,250g / 250 جم,1,10,لوف / love,0,Wholesale / جملة,,,,,
54,gجولد فسدق حلبى مثلج 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006581920,Wholesale / جملة,250g / 250 جم,1,6,فسدق حلبى مثلج,0,Wholesale / جملة,,,,,
62,معسل عباس 500 جم,Wholesale / جملة,0,,Store 2 / مخزن 2,6224000118198,Wholesale / جملة,500g / 500 جم,1,12,,0,Wholesale / جملة,,,,,
65,البرنس عنب 100 جم,Wholesale / جملة,0,,Store 2 / مخزن 2,6224000118129,Wholesale / جملة,100g / 100 جم,1,25,عنب,0,Wholesale / جملة,,,,,
66,قص اسطورة 1000 جم,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006584419,Wholesale / جملة,1kg / 1 كجم,7,6,قص,0,Wholesale / جملة,,,,,
67,قص اسطورة 250 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223006581999,Wholesale / جملة,250g / 250 جم,2,24,قص,0,Wholesale / جملة,,,,19,
79,زغلول 350 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273031,Wholesale / جملة,350g / 350 جم,7,12,زغلول,0,Wholesale / جملة,,,,0,
81,نخلة تفاح سطل 900 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273369,Wholesale / جملة,,3,12,تفاح,0,Wholesale / جملة,,,,0,
87,فاخر تفاح 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007090698,Wholesale / جملة,1kg / 1 كجم,1,6,تفاح,0.5,Wholesale / جملة,,,,0,
89,فاخر ليمون نعناع 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007090612,Wholesale / جملة,1kg / 1 كجم,1,6,ليمون نعناع,0,Wholesale / جملة,,,,0,
99,الكبير علكة 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007094290,Wholesale / جملة,1kg / 1 كجم,0,0,علكة,0,Wholesale / جملة,,,,2,
103,خليل مأمون لايت 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,100077923140,Wholesale / جملة,1kg / 1 كجم,10,6,سلوم,0,Wholesale / جملة,,,,0,
106,الكبير معسل اسود 200 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007093682,Wholesale / جملة,,1,30,سلوم,0,Wholesale / جملة,,,,0,
107,الكبير معسل اسود 50 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007096751,Wholesale / جملة,50g / 50 جم,7,10,سلوم,0,Wholesale / جملة,,,,0,
101,ازاد تفاح 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223006654280,Wholesale / جملة,1kg / 1 كجم,0,0,تفاح,0,Wholesale / جملة,,,,12,
105,الكبير قص 200 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007095273,Wholesale / جملة,,2,30,قص,0,Wholesale / جملة,,,,0,
102,ازاد ليمون نعناع 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223006654440,Wholesale / جملة,1kg / 1 كجم,0,0,ليمون نعناع,0,Wholesale / جملة,,,,2,
104,خليل مأمون قص 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,100077923141,Wholesale / جملة,1kg / 1 كجم,3,6,قص,0,Wholesale / جملة,,,,0,
